index,CB,B,G1,G2,Y,R,RD,NIR,GAI,sun_elevation,Cab,Cw,Cm,N,aot,water,ozone,        Density,soil_name,SMCg,Sand,Clay,Silt,TT
520,0.012144825,0.014207522,0.053198878,0.052528944,0.03099999,0.014606533,0.09170911,0.44341993,6.265092988,36.31434905,36.78308288,0.038259747,0.011447616,2.422586969,0.085676646,2.850874193,0.255185191,447.1076845,31Tournesol,9.087926106,304,285,411,1120
521,0.017244186,0.018380273,0.05453764,0.05279132,0.032674056,0.020398553,0.09505309,0.4963348,3.569502686,35.9581733,40.97509203,0.03935014,0.004708981,1.842219058,0.189926711,1.065985885,0.376770053,447.1076845,31Tournesol,11.16895448,304,285,411,954
522,0.023277786,0.028103732,0.085261926,0.0951484,0.064786896,0.03812619,0.15205236,0.40781185,2.904610991,54.17556474,28.10872711,0.020565052,0.006955752,2.095114251,0.230908332,1.534172566,0.282995363,447.1076845,11Malves,39.81254654,609,109,282,895
523,0.012524888,0.013271128,0.040144023,0.042897105,0.025500655,0.014074024,0.07971517,0.34783378,6.494133096,25.50075822,31.85085648,0.031569862,0.009804211,0.888558601,0.462766427,4.374901217,0.352226535,447.1076845,11Malves,11.44283549,609,109,282,1140
524,0.04480824,0.052814938,0.09905126,0.10791582,0.093537964,0.08203073,0.1615135,0.34775797,1.206431853,30.21404717,36.5248564,0.052309368,0.013949725,2.111305555,0.388399744,3.858966918,0.231030521,447.1076845,11Malves,32.92560588,609,109,282,655
525,0.01396025,0.013381311,0.027296001,0.02420232,0.014113744,0.011735481,0.049566925,0.3644369,6.89131602,65.68389408,46.14750258,0.044971281,0.009986119,0.958816516,0.319482828,2.912657921,0.358467022,447.1076845,11Malves,30.91826752,609,109,282,1196
526,0.011191666,0.011478243,0.030034987,0.03151547,0.018788485,0.011970177,0.057914793,0.22137666,5.703781306,66.63830548,32.72584603,0.052919542,0.014682603,0.95260328,0.429814936,2.382181811,0.306382513,447.1076845,11Malves,24.42439205,609,109,282,1085
527,0.011988954,0.013016273,0.041673932,0.03612971,0.021618148,0.012730391,0.06438028,0.36025962,4.976040081,50.01555901,53.72213675,0.028014921,0.006993301,2.493264679,0.449511461,1.162236371,0.303307547,447.1076845,11Malves,40.17977473,609,109,282,1039
528,0.013832605,0.014604296,0.039844554,0.04189516,0.026221083,0.016998703,0.07644677,0.3160406,4.426903786,43.57573199,33.6484948,0.045943921,0.012213257,1.231281285,0.498496319,3.701983529,0.416220685,447.1076845,11Malves,40.17155491,609,109,282,1003
529,0.019058604,0.022188017,0.0682288,0.07342306,0.0481945,0.028258905,0.12559731,0.4573446,2.993954488,31.60930311,31.72539861,0.032770461,0.006696828,2.067356127,0.296778329,0.881889922,0.488745974,447.1076845,11Malves,4.222377469,609,109,282,907
530,0.033411276,0.039616153,0.0904536,0.095155954,0.074386805,0.058237534,0.14881793,0.3852145,1.895214332,52.19039014,37.27566553,0.043080807,0.006468539,2.22831709,0.062587529,1.63661581,0.330600683,447.1076845,11Malves,37.42766398,609,109,282,775
531,0.011584455,0.012098292,0.039379794,0.035834983,0.02059276,0.011668325,0.06629012,0.3643839,6.52917732,48.67194623,44.9890193,0.041752706,0.009829079,2.010217569,0.144476258,4.420103213,0.369036848,447.1076845,81Lautrec,21.48542653,239,358,403,1143
532,0.010778841,0.010156402,0.021929385,0.017290173,0.010238286,0.008720093,0.03525999,0.35250065,5.682432687,48.6651441,63.05581,0.034412332,0.00776383,1.167052815,0.333548498,3.310020364,0.272808761,447.1076845,81Lautrec,33.66372606,239,358,403,1084
533,0.010581168,0.010185725,0.025554845,0.022134773,0.012629192,0.008766292,0.044403832,0.32555872,5.5098871,39.27848542,49.27654702,0.023142945,0.003108538,0.878568468,0.052199982,0.629233499,0.33366648,447.1076845,81Lautrec,34.05879029,239,358,403,1076
534,0.031743076,0.034915447,0.06880029,0.07791151,0.05987473,0.04820627,0.12667252,0.3278129,1.747133094,39.60591139,28.40654916,0.041137094,0.007211872,1.039225666,0.362961833,2.217871362,0.21131375,447.1076845,81Lautrec,14.17672244,239,358,403,756
535,0.01207576,0.012460318,0.04350771,0.0404463,0.02251707,0.011645447,0.07544756,0.4610096,5.918898155,32.5141451,42.20252738,0.027608666,0.004148258,1.800686271,0.162008927,3.085877755,0.232486557,447.1076845,81Lautrec,25.18983412,239,358,403,1095
